State Fips,State Code,State Name
48,TX,Texas
36,NY,New York
27,MN,Minnesota
37,NC,North Carolina
30,MT,Montana
49,UT,Utah
51,VA,Virginia
26,MI,Michigan
47,TN,Tennessee
29,MO,Missouri
22,LA,Louisiana
25,MA,Massachusetts
21,KY,Kentucky
9,CT,Connecticut
17,IL,Illinois
12,FL,Florida
19,IA,Iowa
18,IN,Indiana
42,PA,Pennsylvania
8,CO,Colorado
38,ND,North Dakota
24,MD,Maryland
53,WA,Washington
55,WI,Wisconsin
40,OK,Oklahoma
39,OH,Ohio
13,GA,Georgia
31,NE,Nebraska
45,SC,South Carolina
46,SD,South Dakota
5,AR,Arkansas
20,KS,Kansas
44,RI,Rhode Island
33,NH,New Hampshire
1,AL,Alabama
50,VT,Vermont
34,NJ,New Jersey
23,ME,Maine
28,MS,Mississippi
32,NV,Nevada
6,CA,California
15,HI,Hawaii
4,AZ,Arizona
72,PR,Puerto Rico
35,NM,New Mexico
78,VI,U.S. Virgin Islands
41,OR,Oregon
2,AK,Alaska
56,WY,Wyoming
16,ID,Idaho
75,TT,U.S. Pacific Trust Territories and Possessions
54,WV,West Virginia
